"0196","4760","47","M","42108"
"0197","5230","40","M","42134"
"0198","7600","42","M","40237"
"0199","5250","47","M","31859"
"0200","2680","50","M","41843"
"0201","6100","62","M","34303"
"0202","3200","53","M","42443"
"0203","5500","56","M",""
"0204","6580","59","M","35957"
"0205","5500","59","M","33656"
"0206","2610","52","M","41530"
"0207","2730","67","M","24638"
"0208","8230","37","M","40117"
"0209","8361","52","M","35144"
"0210","2300","47","M","35412"
"0211","9000","57","M","35026"
"0212","5250","53","K","40658"
"0213","8230","37","K","45142"
"0214","2800","26","K","60445"
"0215","8900","62","M",""
"0216","4300","45","M",""
"0217","8220","71","M","31347"
"0218","9560","59","M",""
"0219","2100","60","M","25907"
"0220","2000","46","M","34211"
"0221","3390","39","M","43515"
"0222","5560","67","K","41000"
"0223","3770","53","K","35429"
"0224","4350","48","K","40244"
"0225","3300","53","M","34701"
"0226","5863","49","M","34154"
"0227","7000","43","M","40521"
"0228","6000","66","M","34055"
"0229","3060","57","M","43412"
"0230","6705","54","M","34841"
"0231","6000","67","M","40204"
"0232","7000","59","M","40207"
"0233","5300","45","M","52458"
"0234","4900","46","M","41740"
"0235","3390","51","M","33355"
"0236","8900","61","M","44257"
"0237","3390","60","K","40638"
"0238","4900","54","K","43540"
"0239","5210","54","M","40423"
"0240","2600","61","M","33841"
"0241","8723","44","M","33632"
"0242","6710","47","K","34938"
"0243","6392","55","M","32541"
"0244","7000","44","M","45555"
"0245","8260","65","M",""
"0246","7200","48","M","31443"
"0247","5000","64","M","34205"
"0248","4000","34","M","33526"
"0249","6070","65","M",""
"0250","4700","51","M","40742"
"0251","8361","45","M","34511"
"0252","5500","60","M","34520"
"0253","3390","47","K","45725"
"0254","8230","47","K","41831"
"0255","8210","45","K","45139"
"0256","3300","56","K",""
"0257","7190","45","K","40717"
"0258","2000","61","M","34714"
"0259","8210","43","M","35319"
"0260","7000","64","M","33106"
"0261","7000","57","M","31030"
"0262","7100","69","M","30909"
"0263","2000","71","M","30922"
"0264","3390","41","M","45139"
"0266","7430","53","M",""
